company,website,symbol,dividend,announcement_date,record_date,ex_date,pay_date
Mid Penn Bancorp Inc,http://www.midpennbank.com,MPB,0.15,2018-10-25,2018-11-07,2018-11-06,2018-11-26
National Western Life Group Inc,http://www.nationalwesternlife.com,NWLI,0.36,2018-10-23,2018-11-07,2018-11-06,2018-12-03
Natural Resource Partners LP,http://www.nrplp.com,NRP,0.45,2018-10-24,2018-11-07,2018-11-06,2018-11-14
Navios Maritime Partners LP,http://www.navios-mlp.com,NMM,0.02,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Newmark Group Inc,http://www.ngkf.com,NMRK,0.09,2018-10-30,2018-11-07,2018-11-06,2018-11-28
Northern Technologies International Corp,http://www.ntic.com,NTIC,0.12,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Northfield Bancorp Inc,http://www.enorthfield.com,NFBK,0.1,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Richardson Electronics Ltd,http://www.rell.com,RELL,0.06,2018-10-10,2018-11-07,2018-11-06,2018-11-21
Rush Enterprises Inc,http://www.rushenterprises.com,RUSHA,0.12,2018-10-23,2018-11-07,2018-11-06,2018-12-10
Seadrill Partners LLC,http://www.seadrillpartners.com,SDLP,0.1,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Sound Financial Bancorp Inc,http://www.soundcb.com,SFBC,0.14,2018-10-26,2018-11-07,2018-11-06,2018-11-21
Southern Copper Corp,http://www.southerncoppercorp.com,SCCO,0.4,2018-10-19,2018-11-07,2018-11-06,2018-11-21
Summit Midstream Partners LP,http://www.summitmidstream.com,SMLP,0.575,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Two River Bancorp,http://www.tworiverbank.com,TRCB,0.055,2018-10-23,2018-11-07,2018-11-06,2018-11-28
VSE Corp,http://www.vsecorp.com,VSEC,0.08,2018-07-30,2018-11-07,2018-11-06,2018-11-21
West Bancorporation Inc,http://www.westbankstrong.com,WTBA,0.2,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Western New England Bancorp Inc,http://www.westfieldbank.com,WNEB,0.04,2018-10-23,2018-11-07,2018-11-06,2018-11-21
Winmark Corp,http://www.winmarkcorporation.com,WINA,0.15,2018-10-24,2018-11-07,2018-11-06,2018-12-03
Wisdom Tree Investments Inc,http://www.wisdomtree.com,WETF,0.03,2018-10-26,2018-11-07,2018-11-06,2018-11-21
American Airlines Group Inc,http://www.aa.com,AAL,0.1,2018-10-25,2018-11-06,2018-11-05,2018-11-20
American Midstream Partners LP,http://www.americanmidstream.com,AMID,0.1031,2018-10-25,2018-11-06,2018-11-05,2018-11-14
Banco Latinoamericano de Comercio Exterior SA,http://www.bladex.com,BLX,0.385,2018-10-25,2018-11-06,2018-11-05,2018-11-20
Access National Corp,http://www.accessnationalbank.com,ANCX,0.17,2018-10-25,2018-11-08,2018-11-07,2018-11-23
Affiliated Managers Group Inc,http://www.amg.com,AMG,0.3,2018-10-29,2018-11-08,2018-11-07,2018-11-21
American Finance Trust Inc,http://www.americanfinancetrust.com,AFIN,0.0916667,2018-10-01,2018-11-08,2018-11-07,2018-11-15
Berkshire Hills Bancorp Inc,http://www.berkshirebank.com,BHLB,0.22,2018-10-17,2018-11-08,2018-11-07,2018-11-21
CONSOL Coal Resources LP,http://www.ccrlp.com,CCR,0.5125,2018-10-25,2018-11-08,2018-11-07,2018-11-15
Energy Transfer LP,http://www.energytransfer.com,ET,0.305,2018-10-29,2018-11-08,2018-11-07,2018-11-19
Entergy Corp,http://www.entergy.com,ETR,0.91,2018-10-26,2018-11-08,2018-11-07,2018-12-03
Falcon Minerals Corp,http://www.falconminerals.com,FLMN,0.095,2018-10-23,2018-11-08,2018-11-07,2018-11-15
Federated Investors Inc,http://www.federatedinvestors.com,FII,0.27,2018-10-25,2018-11-08,2018-11-07,2018-11-15
FS Bancorp Inc,http://www.fsbwa.com,FSBW,0.14,2018-10-25,2018-11-08,2018-11-07,2018-11-21
Guaranty Bancorp,http://www.gbnk.com,GBNK,0.1625,2018-10-29,2018-11-08,2018-11-07,2018-11-15
LPL Financial Holdings Inc,http://www.lpl.com,LPLA,0.25,2018-10-25,2018-11-08,2018-11-07,2018-11-26
Mammoth Energy Services Inc,http://www.mammothenergy.com,TUSK,0.125,2018-10-30,2018-11-08,2018-11-07,2018-11-15
Materion Corp,http://www.materion.com,MTRN,0.105,2018-10-25,2018-11-08,2018-11-07,2018-12-03
Matson Inc,http://www.matson.com,MATX,0.21,2018-10-25,2018-11-08,2018-11-07,2018-12-06
MBT Financial Corp,http://www.mbandt.com,MBTF,0.1,2018-10-25,2018-11-08,2018-11-07,2018-11-15
Navios Maritime Midstream Partners LP,http://www.navios-midstream.com,NAP,0.125,2018-10-24,2018-11-08,2018-11-07,2018-11-14
NGL Energy Partners LP,http://www.nglenergypartners.com,NGL,0.39,2018-10-23,2018-11-08,2018-11-07,2018-11-14
NuStar Energy LP,http://www.nustarenergy.com,NS,0.6,2018-10-29,2018-11-08,2018-11-07,2018-11-14
Oconee Federal Financial Corp,http://www.oconeefederal.com,OFED,0.1,2018-10-29,2018-11-08,2018-11-07,2018-11-21
PCTEL Inc,http://www.pctel.com,PCTI,0.055,2018-10-26,2018-11-08,2018-11-07,2018-11-15
Peapack-Gladstone Financial Corp,http://www.pgbank.com,PGC,0.05,2018-10-26,2018-11-08,2018-11-07,2018-11-23
Resmed Inc,http://www.resmed.com,RMD,0.37,2018-10-25,2018-11-08,2018-11-07,2018-12-13
Standex International Corp,http://www.standex.com,SXI,0.2,2018-10-25,2018-11-08,2018-11-07,2018-11-27
Territorial Bancorp Inc,http://www.territorialsavings.net,TBNK,0.22,2018-10-25,2018-11-08,2018-11-07,2018-11-21
Tower International Inc,http://www.towerinternational.com,TOWR,0.13,2018-10-18,2018-11-08,2018-11-07,2018-12-07
Wintrust Financial Corp,http://www.wintrust.com,WTFC,0.19,2018-10-25,2018-11-08,2018-11-07,2018-11-23
1st Constitution Bancorp,http://www.1stconstitution.com,FCCY,0.075,2018-10-19,2018-11-09,2018-11-08,2018-11-22
American Campus Communities Inc,http://www.americancampus.com,ACC,0.46,2018-10-31,2018-11-12,2018-11-08,2018-11-26
